Timestamp,Open,High,Low,Close
1518411600,1.22865,1.22874,1.22778,1.228305
1518415200,1.228305,1.22918,1.22772,1.22903
1518418800,1.22903,1.22961,1.22691,1.22695
1518422400,1.22695,1.2283,1.2261,1.227255
1518426000,1.227255,1.22822,1.22634,1.22636
1518429600,1.22636,1.22755,1.22586,1.226845
1518433200,1.226845,1.22754,1.2263,1.226985
1518436800,1.226985,1.22705,1.22534,1.226235
1518440400,1.226235,1.22678,1.22348,1.22429
1518444000,1.22429,1.2265,1.22371,1.226285
1518447600,1.226285,1.22801,1.2251,1.22766
1518451200,1.22766,1.22826,1.2264,1.226665
1518454800,1.226665,1.22776,1.22607,1.227535
1518458400,1.227535,1.22901,1.2275,1.22831
1518462000,1.22831,1.22878,1.22789,1.228295
1518465600,1.228295,1.22972,1.22816,1.22913
1518469200,1.22913,1.22948,1.2288,1.229105
1518472800,1.229105,1.2293,1.22858,1.22906
1518476400,1.22906,1.23078,1.22904,1.230095
1518480000,1.230095,1.23013,1.22857,1.22864
1518483600,1.22864,1.22965,1.22854,1.22941
1518487200,1.22941,1.22948,1.22843,1.22901
1518490800,1.22901,1.22978,1.22872,1.229215
1518494400,1.229215,1.23052,1.22918,1.23045
1518498000,1.23045,1.23161,1.22992,1.231355
1518501600,1.231355,1.23252,1.23129,1.23171
1518505200,1.23171,1.2332,1.23093,1.231625
1518508800,1.231625,1.23378,1.23098,1.232145
1518512400,1.232145,1.23322,1.23136,1.2314
1518516000,1.2314,1.23508,1.23121,1.23485
1518519600,1.23485,1.23516,1.2339,1.233895
1518523200,1.233895,1.23562,1.23382,1.23406
1518526800,1.23406,1.23464,1.23265,1.23433
1518530400,1.23433,1.23679,1.23426,1.236605
1518534000,1.236605,1.23714,1.23502,1.235785
1518537600,1.235785,1.23685,1.23536,1.236275
1518541200,1.236275,1.2368,1.23498,1.23534
1518544800,1.23534,1.2361,1.2345,1.234785
1518548400,1.234785,1.23553,1.23444,1.23549
1518552000,1.23549,1.23661,1.23546,1.235655
1518555600,1.235655,1.23598,1.23472,1.235135
1518559200,1.235135,1.23556,1.2347,1.235075
1518562800,1.235075,1.23549,1.23474,1.235385
1518566400,1.235385,1.23624,1.23514,1.235185
1518570000,1.235185,1.23624,1.23511,1.23545
1518573600,1.23545,1.23807,1.23539,1.23805
